date,playgroup_num,playgroup_name,num_victories,num_losses,num_deaths,level
2021-07-09 04:01:00+00:00,32,Project *******,0,4,0,Newbie or Novice
2021-07-10 02:43:00+00:00,91,Happy marshmallow pony hug land,4,0,0,Any
2021-07-10 22:55:57.403896+00:00,32,Project *******,3,0,1,Any
2021-07-11 20:52:03.899842+00:00,50,The World's End Society,3,0,0,Any
2021-07-13 05:30:47.394197+00:00,80,Realm of mysteries,3,0,1,Novice
2021-07-14 04:37:59.888827+00:00,28,Dark Mirror,5,0,0,Newbie or Novice
2021-07-14 22:46:43.820857+00:00,13,Maelstrom,5,0,0,Newbie or Novice
2021-07-15 18:33:59.828201+00:00,98,The Midnight Club,1,0,0,Newbie or Novice
2021-07-15 22:05:24.411788+00:00,98,The Midnight Club,3,0,0,Newbie or Novice
2021-07-15 22:31:02.104358+00:00,98,The Midnight Club,1,0,0,Newbie or Novice
2021-07-16 05:18:53.802467+00:00,89,The Tattered Curtain,5,0,0,Any
2021-07-16 19:06:51.156479+00:00,75,Darkwood,3,0,0,Newbie or Novice
2021-07-16 23:30:53.617686+00:00,89,The Tattered Curtain,4,0,2,Novice
2021-07-17 05:33:13.903644+00:00,32,Project *******,4,0,0,Any
2021-07-18 16:09:29.916329+00:00,13,Maelstrom,0,1,0,Newbie or Novice
2021-07-19 22:44:02.545003+00:00,85,Diverwyn,5,0,0,Newbie or Novice
2021-07-21 01:50:00+00:00,80,Realm of mysteries,3,0,0,Newbie or Novice
2021-07-21 02:52:41.195338+00:00,96,Starship Troopers,4,0,1,Any
2021-07-22 00:24:09.389450+00:00,89,The Tattered Curtain,1,0,0,Newbie or Novice
2021-07-23 20:37:53.886312+00:00,85,Diverwyn,5,0,0,Any
2021-07-24 00:50:08.429475+00:00,89,The Tattered Curtain,6,0,0,Any
2021-07-24 22:41:00+00:00,80,Realm of mysteries,4,0,0,Any
2021-07-25 02:54:47.976427+00:00,35,.,3,4,0,Newbie or Novice
2021-07-25 05:13:29.599240+00:00,32,Project *******,1,5,0,Any
2021-07-25 22:46:45.723603+00:00,50,The World's End Society,1,4,0,Novice
2021-07-26 04:05:00+00:00,80,Realm of mysteries,3,0,0,Any
2021-07-26 07:58:00+00:00,13,Maelstrom,5,0,0,Novice
